class,morph_wer,morph_cer,morph_per,avg_search_cost
affricate_cs,1.8333333333333333,1.693425269905533,2.5804738562091503,7.130003968253969
affricate_cs_onset,1.0,1.0,2.1,3.7849999999999993
affricate_dzs,1.0,0.75,1.5,6.241388888888889
affricates,0.8333333333333334,0.7291666666666666,1.2941176470588236,13.218055555555557
clusters,2.5,4.4263642059694694,2.3402777777777777,3.8800833333333333
final_long_e,1.0,0.9523809523809524,1.5217391304347827,9.022777777777778
front_rounded,1.0,0.8990712790301377,1.431233062330623,7.560760582010583
front_rounded_long,1.8809523809523812,2.8897602397602395,1.934920634920635,5.281897959183674
front_rounded_short,3.111111111111111,5.1611111111111105,1.9259259259259258,4.984904761904763
geminate,1.0,0.90625,1.9090909090909087,8.437916666666668
geminate_dd,1.0,0.6875,1.181818181818182,4.235833333333333
hiatus,1.0,0.9523809523809524,1.5217391304347827,9.022777777777778
i_vs_long_i,1.0,0.6875,1.181818181818182,4.235833333333333
i_vs_long_i_rhyme,10.0,22.22222222222222,2.857142857142857,3.01
laterals,1.0,0.8571428571428571,1.7058823529411764,7.18625
long_a,10.0,22.22222222222222,2.857142857142857,3.01
long_i,0.8333333333333334,0.7291666666666666,1.2941176470588236,13.218055555555557
long_o,0.8333333333333334,0.7692307692307693,1.4444444444444444,8.018571428571429
long_u,1.0,2.142857142857143,3.7777777777777777,3.783333333333333
long_vs_short_vowels,6.666666666666667,13.5,5.625,3.355
palatal_gy,1.0,1.7047619047619047,2.888888888888889,4.86452380952381
palatal_gy_clusters,1.0,2.142857142857143,3.7777777777777777,3.783333333333333
palatal_ny,1.0,0.8420138888888888,1.621212121212121,5.823958333333334
palatal_ty,2.8333333333333335,2.722355769230769,4.121212121212121,6.059652777777778
plosives,1.023809523809524,1.1216880588960838,1.5204003181336159,8.63949007936508
rhythm,1.142857142857143,1.391417411861445,1.9438670908448212,10.709320105820106
s_vs_sh,1.0,0.6923076923076923,1.3636363636363635,3.63125
sibilant_clusters,0.8333333333333334,0.7291666666666666,1.2941176470588236,13.218055555555557
sibilants,1.8452380952380953,2.7594675883327198,1.8801465744400527,5.084879464285715
voiced_coda_g,1.0,1.0,2.1,3.7849999999999993
voicing_assimilation_target,0.6666666666666666,0.3125,0.25,2.43
vowel_harmony,0.9,0.9347826086956522,1.4054054054054057,14.725416666666671
vowel_length,1.9134038800705468,2.874732054728951,2.1062094941587106,6.471365079365079
word_initial,1.0,0.75,1.5,6.241388888888889
z_vs_zh,1.0,0.6875,1.1666666666666667,5.764285714285714
