class,morph_wer,morph_cer,morph_per,avg_search_cost
affricate_cs,0.9583333333333334,0.8052041160593792,1.457107843137255,7.4144981060606066
affricate_cs_onset,1.0,1.0,2.1,4.05
affricate_dzs,1.0,0.9583333333333334,1.9285714285714288,6.666666666666667
affricates,0.8333333333333334,0.7916666666666666,1.411764705882353,13.14382575757576
clusters,4.0,6.235888015493279,1.9513888888888888,4.1570833333333335
final_long_e,1.0,1.0952380952380951,1.434782608695652,10.038333333333334
front_rounded,1.0,0.8382955055693504,1.4432442895857533,8.22121151996152
front_rounded_long,1.0,1.1945221445221446,1.9468253968253966,5.831122448979592
front_rounded_short,1.0,1.5833333333333333,2.2685185185185186,6.268095238095238
geminate,1.0,0.8125,1.7272727272727273,8.820833333333333
geminate_dd,1.0,0.6875,1.181818181818182,4.53
hiatus,1.0,1.0952380952380951,1.434782608695652,10.038333333333334
i_vs_long_i,1.0,0.6875,1.181818181818182,4.53
i_vs_long_i_rhyme,1.6666666666666667,5.111111111111111,6.0,3.2671428571428573
laterals,1.0,0.8095238095238095,1.1176470588235294,7.083749999999999
long_a,1.6666666666666667,5.111111111111111,6.0,3.2671428571428573
long_i,0.8333333333333334,0.7916666666666666,1.411764705882353,13.14382575757576
long_o,1.0,0.7692307692307693,1.5,7.569999999999999
long_u,13.0,20.214285714285715,1.2222222222222223,3.383333333333333
long_vs_short_vowels,1.0,0.9,1.5,3.455
palatal_gy,7.0,10.540476190476191,1.4444444444444446,4.630238095238095
palatal_gy_clusters,13.0,20.214285714285715,1.2222222222222223,3.383333333333333
palatal_ny,2.75,4.739583333333333,6.53030303030303,6.015416666666667
palatal_ty,1.0,0.8677884615384617,1.696969696969697,6.34
plosives,0.9166666666666666,0.7169827320382361,1.1713105337575114,9.383989898989899
rhythm,1.0,0.7893103093843149,1.2839696005655707,11.341986531986533
s_vs_sh,1.0,0.6923076923076923,1.181818181818182,6.065
sibilant_clusters,0.8333333333333334,0.7916666666666666,1.411764705882353,13.14382575757576
sibilants,1.0,1.0719675883327198,1.647576306543698,6.085848214285715
voiced_coda_g,1.0,1.0,2.1,4.05
voicing_assimilation_target,0.6666666666666666,0.5,0.8333333333333334,3.51
vowel_harmony,0.8,0.9347826086956522,1.4594594594594594,15.53166666666667
vowel_length,1.585185185185185,2.090774839480621,2.073890487186601,6.968067446956336
word_initial,1.0,0.9583333333333334,1.9285714285714288,6.666666666666667
z_vs_zh,1.0,0.6875,1.1666666666666667,6.477142857142858
