hu_ngram,n,count,en_word,en_pron,cost
az,1,0,is,ɪ z,1.0
és,1,0,sh,ʃ,0.5
nem,1,0,m,ɛ m,0.3333333333333333
eǧ,1,0,edge,ɛ dʒ,0.0
is,1,0,ish,ɪ ʃ,0.0
de,1,0,death,d ɛ θ,0.5
meg,1,0,men,m ɛ n,0.6666666666666666
čak,1,0,take,t eɪ k,0.8
ha,1,0,he,h i,1.0
van,1,0,van,v æ n,0.6666666666666666
vol,1,0,all,ɔ l,0.3333333333333333
vol + t,2,0,vault,v ɔ l t,0.0
t,1,0,to,t u,1.0
ez,1,0,says,s ɛ z,0.5
vaǧ,1,0,verge,v ɝ dʒ,0.6666666666666666
már,1,0,mm,m,0.6666666666666666
még,1,0,mm,m,0.6666666666666666
én,1,0,in,ɪ n,1.0
keL,1,0,care,k ɛ ɹ,0.6666666666666666
el,1,0,l,ɛ l,0.0
jó,1,0,you,j u,1.0
ki,1,0,key,k i,0.0
aʃ,1,0,so,s oʊ,1.0
aʃ + t,2,0,set,s ɛ t,0.6666666666666666
ak,1,0,co,k oʊ,1.0
kor,1,0,call,k ɔ l,0.6666666666666666
eʃ,1,0,'s,ɛ s,0.0
eʃ + t,2,0,est,ɛ s t,0.0
mind,1,0,mean,m i n,0.25
en,1,0,n,ɛ n,0.0
mer,1,0,men,m ɛ n,0.6666666666666666
mer + t,2,0,met,m ɛ t,0.25
maǧar,1,0,mm,m,0.8
naǧ,1,0,in,ɪ n,1.0
on,1,0,gone,g ɔ n,0.5
ojan,1,0,gone,g ɔ n,0.75
mi,1,0,me,m i,0.0
sem,1,0,m,ɛ m,0.3333333333333333
leʃ,1,0,less,l ɛ s,0.0
le,1,0,let,l ɛ t,0.5
le + ɦet,2,0,let,l ɛ t,0.4
ɦet,1,0,et,ɛ t,0.3333333333333333
ok,1,0,talk,t ɔ k,0.5
es,1,0,eh,ɛ,0.5
be,1,0,bed,b ɛ d,0.5
aki,1,0,key,k i,0.3333333333333333
két,1,0,act,æ k t,0.6666666666666666
fel,1,0,fell,f ɛ l,0.0
után,1,0,put,p ʊ t,0.75
ne,1,0,net,n ɛ t,0.5
új,1,0,you,j u,1.0
