hu_ngram,n,en_word,en_pron,cost,count
et,1,et,ɛ t,0.16,1794
el,1,l,ɛ l,0.16,1425
en,1,n,ɛ n,0.16,858
em,1,m,ɛ m,0.16,600
an,1,on,ɑ n,0.16,522
ad,1,odd,ɑ d,0.16,512
Ad,1,odd,ɑ d,0.16,416
ot,1,ought,ɔ t,0.16,415
ed,1,ed,ɛ d,0.16,329
in,1,in,ɪ n,0.16,293
ol,1,all,ɔ l,0.16,279
az,1,oz,ɑ z,0.16,245
egy,1,edge,ɛ dʒ,0.16,231
it,1,it,ɪ t,0.16,135
ön,1,own,oʊ n,0.16,122
ök,1,oak,oʊ k,0.16,105
asz,1,os,ɑ s,0.16,103
ta,1,ta,t ɑ,0.16,81
il,1,ill,ɪ l,0.16,79
esz,1,'s,ɛ s,0.16,67
ap,1,op,ɑ p,0.16,66
iz,1,is,ɪ z,0.16,63
im,1,im,ɪ m,0.16,58
na,1,na,n ɑ,0.16,43
ef,1,f,ɛ f,0.16,40
id,1,id,ɪ d,0.16,34
tö,1,toe,t oʊ,0.16,28
la,1,la,l ɑ,0.16,22
if,1,if,ɪ f,0.16,19
da,1,da,d ɑ,0.16,16
ma,1,ma,m ɑ,0.16,11
of,1,off,ɔ f,0.16,11
lo,1,law,l ɔ,0.16,8
ha,1,ha,h ɑ,0.16,7
so,1,shaw,ʃ ɔ,0.16,7
ni,1,knee,n i,0.235,850
ki,1,key,k i,0.235,682
öl,1,all,ɔ l,0.235,64
öt,1,ought,ɔ t,0.235,49
mi,1,me,m i,0.235,41
vi,1,v,v i,0.235,35
fi,1,fee,f i,0.235,34
ti,1,t,t i,0.235,31
hi,1,he,h i,0.235,30
li,1,lee,l i,0.235,26
di,1,d,d i,0.235,23
iv,1,eve,i v,0.235,21
bi,1,be,b i,0.235,17
si,1,she,ʃ i,0.235,12
ity,1,each,i tʃ,0.235,11
pi,1,p,p i,0.235,11
szi,1,see,s i,0.235,5
fel,1,fell,f ɛ l,0.24,668
nak,1,knock,n ɑ k,0.24,660
nek,1,neck,n ɛ k,0.24,635
ben,1,ben,b ɛ n,0.24,602
hat,1,hot,h ɑ t,0.24,331
tel,1,tell,t ɛ l,0.24,202
kap,1,cop,k ɑ p,0.24,177
min,1,min,m ɪ n,0.24,138
men,1,men,m ɛ n,0.24,122
lak,1,lock,l ɑ k,0.24,111
tek,1,tech,t ɛ k,0.24,109
let,1,let,l ɛ t,0.24,89
tam,1,tom,t ɑ m,0.24,79
ten,1,ten,t ɛ n,0.24,76
kol,1,call,k ɔ l,0.24,66
köt,1,coat,k oʊ t,0.24,63
szen,1,sen,s ɛ n,0.24,63
don,1,dawn,d ɔ n,0.24,62
lat,1,lot,l ɑ t,0.24,54
von,1,von,v ɔ n,0.24,52
sel,1,shell,ʃ ɛ l,0.24,50
den,1,den,d ɛ n,0.24,49
dal,1,doll,d ɑ l,0.24,48
del,1,del,d ɛ l,0.24,43
kat,1,caught,k ɑ t,0.24,38
köl,1,coal,k oʊ l,0.24,37
son,1,sean,ʃ ɔ n,0.24,37
tok,1,talk,t ɔ k,0.24,37
bel,1,bell,b ɛ l,0.24,35
szel,1,sell,s ɛ l,0.24,34
pil,1,pill,p ɪ l,0.24,33
fut,1,foot,f ʊ t,0.24,32
tol,1,tall,t ɔ l,0.24,32
pol,1,paul,p ɔ l,0.24,31
ken,1,ken,k ɛ n,0.24,28
szed,1,said,s ɛ d,0.24,27
tap,1,top,t ɑ p,0.24,27
hol,1,hall,h ɔ l,0.24,25
hit,1,hit,h ɪ t,0.24,23
kan,1,con,k ɑ n,0.24,23
növ,1,nov,n oʊ v,0.24,21
ex,1,x,ɛ k s,0.24,20
fed,1,fed,f ɛ d,0.24,20
tin,1,tin,t ɪ n,0.24,20
met,1,met,m ɛ t,0.24,19
pen,1,pen,p ɛ n,0.24,19
szin,1,sin,s ɪ n,0.24,19
net,1,net,n ɛ t,0.24,18
mil,1,mill,m ɪ l,0.24,17
pat,1,pot,p ɑ t,0.24,15
poz,1,pause,p ɔ z,0.24,15
bat,1,bought,b ɑ t,0.24,14
dan,1,don,d ɑ n,0.24,14
pap,1,pop,p ɑ p,0.24,14
szek,1,sec,s ɛ k,0.24,14
tim,1,tim,t ɪ m,0.24,14
dek,1,deck,d ɛ k,0.24,13
gyök,1,joke,dʒ oʊ k,0.24,13
köd,1,code,k oʊ d,0.24,13
lesz,1,less,l ɛ s,0.24,13
